state,action,value
1:0:1:1,up,0.03
1:0:1:1,down,0.09
1:0:1:1,left,-0.02
1:0:1:1,right,0.00
1:1:-1:0,up,-0.02
1:1:-1:1,up,0.46
1:1:0:0,down,0.05
1:1:0:0,right,-0.04
1:1:0:0,up,2.02
1:1:0:1,up,-0.03
1:1:0:1,left,-0.01
1:1:0:1,right,-0.04
1:1:1:0,up,1.46
1:1:1:0,left,-0.02
1:1:1:0,down,0.10
1:1:1:1,left,-0.05
1:1:1:1,down,-0.04
1:1:1:1,right,0.01
1:1:1:1,up,0.80
